dependent,variable,coefficient,se,pval,lower_bound,upper_bound,keep
assist,Acceleration_y,0.0005465746718005326,0.0017101510098528844,0.7492728576737882,-0.0028053213075111207,0.0038984706511121857,0
assist,Acceleration_y_other,0.0006494244260846683,0.0009493639110913842,0.494184535789173,-0.0012113288396544447,0.0025101776918237816,0
assist,Acceleration_y_own,0.0012590166356124532,0.0011479537767793,0.2729364995459913,-0.0009909727668749747,0.003509006038099881,0
assist,Aggression,-0.00018764347888498194,-7.386164075160022e-05,0.08559046794514691,-4.287466301184552e-05,-0.00033241229475811833,0
assist,Aggression_other,0.0005020829878476585,0.0006140856761952683,0.4135914876103808,-0.0007015249374950673,0.0017056909131903844,0
assist,Aggression_own,-0.0010663650811533,0.0007023079103912529,0.12901594482029832,-0.0024428885855201556,0.00031015842321355583,0
assist,Agility,-0.0003473188076565877,0.0005961385243545044,0.5621105128344479,-0.0015157503153914165,0.000821112700078241,0
assist,Agility_other,0.001248476775988728,0.0007345788921126705,0.08932543642082469,-0.00019129785255210616,0.002688251404529562,0
assist,Agility_own,-0.0009458746325122098,0.0009017375225791982,0.2942323221322023,-0.002713280176767438,0.0008215309117430187,0
assist,Balance,-0.00020734886055250642,0.0010607934428049587,0.8451779381893514,-0.0022865040084502253,0.0018718062873452125,0
assist,Balance_other,0.00026847116813734004,0.0006632051886014021,0.6856540764657653,-0.0010314110015214079,0.0015683533377960882,0
assist,Balance_own,0.0016378125210940375,0.0007408189836133721,0.027061041102926175,0.00018580731321182807,0.003089817728976247,1
assist,Ball control,0.001187670363841728,0.00023798683139169,0.00010119452542856067,0.0007212161743140157,0.0016541245533694404,1
assist,Ball control_other,-0.0017972499470635514,0.0013336057290334288,0.1777802021284518,-0.004411117175969072,0.0008166172818419688,0
assist,Ball control_own,-0.001122563018644154,0.0013615307048325523,0.4096730461658624,-0.0037911632001159565,0.0015460371628276486,0
assist,CAM,-0.003027215902109331,,,,,1
assist,CB,-0.006183014599776266,,,,,1
assist,CDM,-0.012849159915794345,,,,,1
assist,CF,-0.01818699180603472,,,,,1
assist,CM,-0.02823808931430613,,,,,1
assist,Composure,0.00019545463102673506,-0.0005190809655555587,0.8088168590641998,0.0012128533235156301,-0.00082194406146216,0
assist,Composure_other,0.00016381727526918477,0.0007304295817745245,0.8225452221676375,-0.0012678247050088832,0.0015954592555472527,0
assist,Composure_own,-0.0001836856125908864,0.0007836224052364709,0.8146852425471278,-0.0017195855268543694,0.0013522143016725964,0
assist,Crossing,0.0005302679795072241,0.0001870158979199268,0.4329309194330657,0.00016371681958416757,0.0008968191394302806,0
assist,Crossing_other,0.0009880085735876041,0.0006868285591817932,0.15030176617343471,-0.0003581754024087106,0.002334192549583919,0
assist,Crossing_own,-0.0009853632092884964,0.0007333178145732685,0.17905518725401537,-0.0024226661258521026,0.00045193970727510973,0
assist,Curve,8.456468002300527e-05,0.00025374689270007484,0.7740243627022589,-0.00041277922966914145,0.000581908589715152,0
assist,Curve_other,-0.001272103939858499,0.0006813262059205414,0.061900772908223045,-0.00260750330346276,6.329542374576189e-05,0
assist,Curve_own,-0.00024241446942247972,0.0007509638164566534,0.7468608014333911,-0.0017143035496775202,0.001229474610832561,0
assist,Dribbling,0.00023852755138250884,0.0024576607641577184,0.9227916418901745,-0.0045784875463666195,0.005055542649131637,0
assist,Dribbling_other,-0.0003962786261705649,0.0009895748754286814,0.6888258949080277,-0.0023358453820107802,0.0015432881296696505,0
assist,Dribbling_own,-0.00048147033861712816,0.0008541726289297357,0.5729856415620573,-0.00215564869131941,0.0011927080140851538,0
