index,LinearRegression,Ridge,Lasso
goal_scored,"{'rmse_train': 0.3446311876377671, 'rmse_test': 0.3346983785270611}","{'rmse_train': 0.34463118783197166, 'rmse_test': 0.3346982041325972}","{'rmse_train': 0.3541385265983288, 'rmse_test': 0.343932377734358}"
assist,"{'rmse_train': 0.26275127505327484, 'rmse_test': 0.27334564615540113}","{'rmse_train': 0.2627512752136127, 'rmse_test': 0.27334554600858263}","{'rmse_train': 0.267817523524922, 'rmse_test': 0.27813146156745727}"
shot,"{'rmse_train': 1.1474049507582165, 'rmse_test': 1.1121528354157137}","{'rmse_train': 1.1474049516172655, 'rmse_test': 1.1121522804070203}","{'rmse_train': 1.1744891858804347, 'rmse_test': 1.134283334888443}"
shot_target,"{'rmse_train': 0.6394887286433462, 'rmse_test': 0.6167081918565525}","{'rmse_train': 0.639488729058666, 'rmse_test': 0.6167078564181369}","{'rmse_train': 0.6520151022476727, 'rmse_test': 0.6281294829079433}"
pass,"{'rmse_train': 16.351203015798276, 'rmse_test': 16.14145496804151}","{'rmse_train': 16.351203072234632, 'rmse_test': 16.141436140713623}","{'rmse_train': 16.619172309822915, 'rmse_test': 16.346312165796434}"
pass_good,"{'rmse_train': 9.540822374893667, 'rmse_test': 9.588304931687487}","{'rmse_train': 9.540822414829524, 'rmse_test': 9.588301027164155}","{'rmse_train': 9.707742039303104, 'rmse_test': 9.727866535125925}"
pass_key,"{'rmse_train': 0.5819962422468495, 'rmse_test': 0.5789445075940481}","{'rmse_train': 0.5819962435664542, 'rmse_test': 0.5789443323471506}","{'rmse_train': 0.5947278925933066, 'rmse_test': 0.5852994086187077}"
pass_long,"{'rmse_train': 0.8470747394287541, 'rmse_test': 0.8697037933786534}","{'rmse_train': 0.8470747411665466, 'rmse_test': 0.8697025323601519}","{'rmse_train': 0.860599147850848, 'rmse_test': 0.8796952696220784}"
pass_short,"{'rmse_train': 16.329328824379072, 'rmse_test': 16.12152615872994}","{'rmse_train': 16.3293288773164, 'rmse_test': 16.121508984150537}","{'rmse_train': 16.598259970289956, 'rmse_test': 16.328748711164604}"
pass_through,"{'rmse_train': 1.0324217566232128, 'rmse_test': 1.022780893486749}","{'rmse_train': 1.032421757837861, 'rmse_test': 1.0227813599002584}","{'rmse_train': 1.052199873168408, 'rmse_test': 1.03870566825214}"
pass_cross,"{'rmse_train': 1.8807855820463397, 'rmse_test': 1.8771427924964381}","{'rmse_train': 1.8807856134120506, 'rmse_test': 1.8771391277401277}","{'rmse_train': 1.9624829703636844, 'rmse_test': 1.953055826881333}"
tackle_good,"{'rmse_train': 2.1090135884924504, 'rmse_test': 2.1069297190838405}","{'rmse_train': 2.109013589914313, 'rmse_test': 2.106929583006233}","{'rmse_train': 2.137921047797776, 'rmse_test': 2.126277229394601}"
tackle_bad,"{'rmse_train': 2.051769170540249, 'rmse_test': 2.0414789734919836}","{'rmse_train': 2.051769172711143, 'rmse_test': 2.0414778445969524}","{'rmse_train': 2.109093848946494, 'rmse_test': 2.091282054477878}"
interception,"{'rmse_train': 2.537379362877361, 'rmse_test': 2.5651413594660504}","{'rmse_train': 2.5373793704609633, 'rmse_test': 2.565140687609929}","{'rmse_train': 2.5736332713388848, 'rmse_test': 2.5928698255479232}"
foul,"{'rmse_train': 1.154147039038877, 'rmse_test': 1.147929964176139}","{'rmse_train': 1.1541470412855952, 'rmse_test': 1.1479295368901936}","{'rmse_train': 1.1801039642033746, 'rmse_test': 1.170311266835719}"
dribble,"{'rmse_train': 3.2909565173565234, 'rmse_test': 3.285061675887584}","{'rmse_train': 3.2909565205202562, 'rmse_test': 3.2850608739535923}","{'rmse_train': 3.363486226317278, 'rmse_test': 3.3387918067858493}"
control_bad,"{'rmse_train': 1.3159771754508254, 'rmse_test': 1.327101102574196}","{'rmse_train': 1.3159771772191535, 'rmse_test': 1.3270996861288404}","{'rmse_train': 1.3425782494143572, 'rmse_test': 1.3489783180257287}"
corner,"{'rmse_train': 1.150443196211373, 'rmse_test': 1.1553787113037925}","{'rmse_train': 1.1504432037031582, 'rmse_test': 1.155377919109964}","{'rmse_train': 1.184627697583684, 'rmse_test': 1.1812244324030572}"
clearance,"{'rmse_train': 1.4798178209181334, 'rmse_test': 1.527255464149373}","{'rmse_train': 1.4798178234275152, 'rmse_test': 1.5272559649829138}","{'rmse_train': 1.5143042051883169, 'rmse_test': 1.5536884726396372}"
